Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Pac-Man,2600,1982.0,Puzzle,7.28,0.45,0.0,0.08,,,
Pitfall!,2600,1981.0,Platform,4.21,0.24,0.0,0.05,,,
Asteroids,2600,1980.0,Shooter,4.0,0.26,0.0,0.05,,,
Missile Command,2600,1980.0,Shooter,2.56,0.17,0.0,0.03,,,
Space Invaders,2600,,Shooter,2.36,0.14,0.0,0.03,,,
Frogger,2600,1981.0,Action,02.06,0.12,0.0,0.02,,,
Demon Attack,2600,1981.0,Shooter,1.99,0.12,0.0,0.02,,,
E.T.: The Extra Terrestrial,2600,1981.0,Action,1.84,0.11,0.0,0.02,,,
Ms. Pac-Man,2600,1981.0,Puzzle,1.54,0.1,0.0,0.02,,,
Dig Dug,2600,1982.0,Puzzle,1.52,0.1,0.0,0.02,,,
River Raid,2600,1981.0,Shooter,1.49,0.09,0.0,0.02,,,
Mario Bros.,2600,1982.0,Platform,1.48,0.09,0.0,0.02,,,
Donkey Kong,2600,1981.0,Platform,1.36,0.08,0.0,0.02,,,
Centipede,2600,1981.0,Shooter,1.26,0.08,0.0,0.01,,,
Pitfall II: Lost Caverns,2600,1983.0,Platform,1.22,0.07,0.0,0.02,,,
Adventure,2600,,Adventure,1.21,0.08,0.0,0.01,,,
Atlantis,2600,1981.0,Shooter,1.18,0.08,0.0,0.01,,,
Combat,2600,,Action,1.17,0.07,0.0,0.01,,,
Pole Position,2600,1982.0,Racing,1.1,0.07,0.0,0.01,,,
Kaboom!,2600,1980.0,Misc,01.07,0.07,0.0,0.01,,,
Moon Patrol,2600,1982.0,Shooter,01.05,0.06,0.0,0.01,,,
Megamania,2600,1981.0,Shooter,01.03,0.06,0.0,0.01,,,
Jungle Hunt,2600,1982.0,Platform,01.03,0.06,0.0,0.01,,,
Joust,2600,1982.0,Platform,01.01,0.06,0.0,0.01,,,
Cosmic Ark,2600,1981.0,Shooter,0.99,0.05,0.0,0.01,,,
Defender,2600,1980.0,Misc,0.99,0.05,0.0,0.01,,,
Air-Sea Battle,2600,,Shooter,0.91,0.06,0.0,0.01,,,
Donkey Kong Junior,2600,1981.0,Platform,0.9,0.05,0.0,0.01,,,
Spider-Man,2600,1981.0,Action,0.87,0.05,0.0,0.01,,,
Enduro,2600,1982.0,Misc,0.81,0.05,0.0,0.01,,,
Custer's Revenge,2600,1981.0,Action,0.76,0.05,0.0,0.01,,,
Alien,2600,1981.0,Action,0.74,0.04,0.0,0.01,,,
Yars' Revenge,2600,1982.0,Shooter,0.73,0.04,0.0,0.01,,,
Jr. Pac-Man,2600,1983.0,Puzzle,0.72,0.05,0.0,0.01,,,
Galaxian,2600,1982.0,Shooter,0.72,0.05,0.0,0.01,,,
